2.54,2.55,2.61,2.66,2.73,2.83,3.00,3.20,3.45,3.74,3.96,4.37,4.72,5.13,5.46,5.77,6.09,6.38,6.58,6.76,6.90,6.98,7.05,7.09,7.12,7.10,7.15,7.15
2.34,2.33,2.36,2.39,2.41,2.45,2.53,2.68,2.98,3.34,3.72,4.19,4.62,5.17,5.61,6.07,6.39,6.75,6.98,7.17,7.22,7.28,7.26,7.29,7.26,7.27,7.27,7.26
2.26,2.27,2.26,2.20,2.12,2.19,2.26,2.41,2.71,3.08,3.52,4.01,4.61,5.19,5.78,6.26,6.66,7.06,7.30,7.43,7.50,7.58,7.47,7.42,7.38,7.34,7.32,7.30
2.23,2.17,2.13,2.06,1.99,1.93,1.90,2.04,2.32,2.70,3.15,3.80,4.49,5.21,5.87,7.45,7.04,7.46,7.76,7.83,7.77,7.67,7.57,7.52,7.32,7.38,7.32,7.32
2.17,2.10,2.01,1.88,1.73,1.53,1.29,1.23,1.58,2.04,2.78,3.65,4.36,5.30,6.04,6.77,7.50,7.92,8.21,8.25,8.01,7.86,7.73,7.45,7.54,7.48,7.39,7.37
2.12,2.01,1.9 ,1.72,1.50,1.10,0.57,0.10,0.08,0.79,2.10,3.35,4.34,5.28,6.19,7.21,8.37,9.11,9.28,8.89,8.48,8.13,7.89,7.74,7.59,7.54,7.46,7.41
2.08,1.94,1.80,1.60,1.31,0.78,0.06,0.01,0.05,0.08,1.68,3.18,4.24,5.34,6.35,7.45,9.23,9.27,9.20,9.31,8.79,8.25,8.01,7.81,7.67,7.56,7.47,7.42
2.05,1.94,1.78,1.55,1.22,0.76,0.03,0.00,0.03,0.08,1.49,3.10,4.09,5.33,6.37,7.48,9.28,9.32,9.11,9.23,8.94,8.40,8.03,7.85,7.70,7.60,7.51,7.45
2.05,1.93,1.79,1.61,1.30,0.99,0.27,0.02,0.05,0.13,1.75,3.10,4.18,5.26,6.18,7.33,8.69,9.33,9.31,9.29,8.72,8.32,8.03,7.83,7.69,7.57,7.48,7.45
2.06,1.98,1.84,1.68,1.47,1.25,0.83,0.55,0.59,1.24,2.23,3.27,4.22,5.10,6.06,6.94,7.82,8.68,8.92,8.76,8.42,8.20,7.94,7.81,7.67,7.57,7.49,7.44
2.08,2.03,1.92,1.80,1.67,1.53,1.37,1.29,1.48,1.97,2.60,3.45,4.20,5.03,5.85,6.58,7.28,7.83,8.18,8.16,8.06,7.92,7.80,7.67,7.57,7.48,7.47,7.39
2.15,2.10,2.03,1.93,1.85,1.80,1.76,1.81,2.01,2.42,2.99,3.66,4.31,5.06,5.73,6.36,6.91,7.32,7.65,7.76,7.77,7.70,7.62,7.60,7.50,7.41,7.42,7.36
2.25,2.26,2.24,2.18,2.24,2.30,2.37,2.55,2.72,3.09,3.50,3.90,4.44,4.91,5.49,5.96,6.30,6.64,6.92,7.10,7.20,7.27,7.16,7.32,7.27,7.23,7.25,7.28
