# volumen(mL), presion(bar)
4,15.5
3.95,15.5
3.9,16
3.85,16
3.8,16
3.75,16.5
3.7,16.5
3.65,16.5
3.6,17
3.55,17
3.5,17
3.45,17.5
3.4,17.5
3.35,18
3.3,18
3.2,19
3.1,19.5
3,19.5
2.9,20
2.8,21
2.7,21.5
2.6,22.5
2.5,23
2.4,24
2.3,25
2.2,25.5
2.1,26.5
2,27.5
1.9,28.5
1.8,29.5
1.7,30.5
1.6,32
1.5,33
1.4,34.5
1.3,36
1.25,36.5
1.2,37
1.15,38
1.1,38.5
1.05,39.5
1,40
0.95,41
0.9,41.5
0.85,41.5
0.8,41.5
0.75,41.5
0.7,41.5
0.65,41.5
0.6,42.5
0.55,43
0.5,43
0.45,43.5
0.4,44
0.35,45
0.3,47
