# volumen(mL), presion(bar)
4,15
3.95,15
3.9,15.5
3.85,16
3.8,16
3.75,16
3.7,16.5
3.65,16.5
3.6,16.5
3.55,17
3.5,17
3.45,17
3.4,17.5
3.35,17.5
3.3,18
3.2,18.5
3.1,19
3,19.5
2.9,20
2.8,20.5
2.7,21
2.6,21.5
2.5,22.5
2.4,23
2.3,24
2.2,25
2.1,26
2,27
1.9,27.5
1.8,29
1.7,30
1.6,30.5
1.5,32
1.45,32.5
1.4,33
1.35,34
1.3,34.5
1.25,35
1.2,35.5
1.15,36.5
1.1,37
1.05,38
1,38.5
0.95,39
0.9,39
0.85,39
0.8,39
0.75,39
0.7,39.5
0.65,39.5
0.6,39.5
0.55,39.5
0.5,40
0.45,40
0.4,41
0.35,41.5
0.3,44
