# volumen(mL), presion(bar)
4,15.5
3.95,15.5
3.9,15.5
3.85,16
3.8,16
3.75,16.5
3.7,16.5
3.65,17
3.6,17
3.55,17.5
3.5,17.5
3.45,18
3.4,18
3.35,18
3.3,18.5
3.2,19
3.1,19.5
3,20
2.9,20.5
2.8,21
2.7,22
2.6,22.5
2.5,23.5
2.4,24.5
2.3,25
2.2,26
2.1,27
2,28
1.9,29
1.8,30.5
1.7,31.5
1.6,33
1.5,34
1.4,35.5
1.3,37
1.2,39
1.1,40.5
1,42.5
0.95,43.5
0.9,44.5
0.85,45
0.8,46
0.75,46.5
0.7,47.5
0.65,48
0.6,48.5
0.55,49
0.5,49.5
