# volumen(mL), presion(bar)
4,14.5
3.95,14.5
3.9,15
3.85,15
3.8,15
3.75,15.5
3.7,15.5
3.65,16
3.6,16
3.55,16.5
3.5,16.5
3.45,17
3.4,17
3.35,17.5
3.3,17.5
3.2,18
3.1,18.5
3,19
2.9,19.5
2.8,20
2.7,21
2.6,21.5
2.5,22.5
2.4,23.5
2.3,24
2.2,25
2.1,26
2,27
1.9,28
1.8,29
1.7,30
1.6,31.5
1.5,33
1.4,34.5
1.3,36
1.2,37.5
1.1,39
1,41
0.95,42
0.9,42.5
0.85,43.5
0.8,44
0.75,44.5
0.7,45
0.65,45.5
0.6,45.5
0.55,46
0.5,46
0.45,46
0.4,46
0.35,47
0.3,49
