# volumen(mL), presion(bar)
3.95,16
3.9,16
3.85,16.5
3.8,16.5
3.75,17
3.7,17
3.65,17
3.6,17.5
3.55,17.5
3.5,18
3.45,18
3.4,18
3.35,18.5
3.3,18.5
3.2,19.5
3.1,20
3,20.5
2.9,21
2.8,22
2.7,22.5
2.6,23
2.5,24
2.4,25
2.3,25.5
2.2,26.5
2.1,27.5
2,28.5
1.9,30
1.8,31
1.7,32
1.6,33.5
1.5,35
1.4,36.5
1.3,38
1.2,40
1.1,42
1,44
0.95,45
0.9,45.5
0.85,46
0.8,47.5
0.75,48.5
0.7,49
0.65,49.5
