# volumen(mL), presion(bar)
4,14.5
3.95,14.5
3.9,15
3.85,15
3.8,15
3.75,15.5
3.7,15.5
3.65,16
3.6,16
3.55,16.5
3.5,16.5
3.45,16.5
3.4,17
3.35,17
3.3,17.5
3.2,18
3.1,18.5
3,19
2.9,19.5
2.8,20
2.7,20.5
2.6,21
2.5,22
2.4,22.5
2.3,23.5
2.2,24
2.1,25
2,26
1.9,27
1.8,28
1.7,29
1.6,30
1.5,31
1.45,31.5
1.4,32
1.35,32.5
1.3,33
1.25,34
1.2,34.5
1.15,35
1.1,35
1.05,35
1,35
0.95,35.5
0.9,35.5
0.85,35.5
0.8,35.5
0.75,35.5
0.7,36
0.65,36
0.6,36
0.55,36
0.5,36
0.45,36.5
0.4,36.5
0.35,37
0.3,39.5
0.25,46.5
