# volumen(mL), presion(bar)
4,15.5
3.95,16
3.9,16
3.85,16
3.8,16.5
3.75,16.5
3.7,17
3.65,17
3.6,17
3.55,17.5
3.5,17.5
3.45,18
3.4,18
3.35,18.5
3.3,18.5
3.2,19
3.1,19.5
3,20
2.9,21
2.8,21.5
2.7,22
2.6,23
2.5,23.5
2.4,24
2.3,25
2.2,26
2.1,27
2,28
1.9,29
1.8,30
1.7,31.5
1.6,32.5
1.5,34
1.4,35
1.3,36.5
1.25,37.5
1.2,38
1.15,39
1.1,39.5
1.05,40.5
1,41
0.95,42
0.9,42.5
0.85,43
0.8,44
0.75,44
0.7,44
0.65,44
0.6,44.5
0.55,44.5
0.5,44.5
0.45,45
0.4,45
0.35,46
0.3,48
