# volumen(mL), presion(bar)
4,15
3.95,15
3.9,15
3.85,15.5
3.8,15.5
3.75,16
3.7,16
3.65,16
3.6,16.5
3.55,16.5
3.5,17
3.45,17
3.4,17.5
3.35,17.5
3.3,18
3.2,18.5
3.1,19
3,19.5
2.9,20
2.8,20.5
2.7,21.5
2.6,22
2.5,23
2.4,23.5
2.3,24.5
2.2,25.5
2.1,26.5
2,27.5
1.9,28.5
1.8,30
1.7,31
1.6,32.5
1.5,33.5
1.4,35
1.3,36.5
1.2,38.5
1.1,40
1,40.5
0.95,43
0.9,43.5
0.85,44
0.8,45
0.75,45.5
0.7,46
0.65,46.5
0.6,47
0.55,47
0.5,47
0.45,47.5
0.4,47.5
0.35,48.5
