# volumen(mL), presion(bar)
4,15
3.95,15
3.9,15.5
3.85,16
3.8,16
3.75,16
3.7,16.5
3.65,16.5
3.6,17
3.55,17
3.5,17
3.45,17.5
3.4,17.5
3.35,18
3.3,18
3.2,18.5
3.1,19
3,20
2.9,20.5
2.8,21
2.7,21.5
2.6,22.5
2.5,23
2.4,24
2.3,25
2.2,26
2.1,27
2,27.5
1.9,29
1.8,30
1.7,31.5
1.6,33
1.5,34
1.4,35.5
1.3,37
1.2,39
1.1,40.5
1,42.5
0.95,43
0.9,44
0.85,44.5
0.8,45.5
0.75,46
0.7,47
0.6,47.5
0.55,48
0.5,48
0.45,48
0.4,48.5
